Maille,Maille_X,Maille_Y,mid_lon,mid_lat,sw_lon,sw_lat,ne_lon,ne_lat,area
1,1,1,78.005,17.155,78.000,17.150,78.010,17.160,0.980
2,2,1,78.015,17.155,78.010,17.150,78.020,17.160,0.980
3,3,1,78.025,17.155,78.020,17.150,78.030,17.160,0.980
4,4,1,78.035,17.155,78.030,17.150,78.040,17.160,0.980
5,5,1,78.045,17.155,78.040,17.150,78.050,17.160,0.980
6,6,1,78.055,17.155,78.050,17.150,78.060,17.160,0.980
7,7,1,78.065,17.155,78.060,17.150,78.070,17.160,0.980
8,8,1,78.075,17.155,78.070,17.150,78.080,17.160,0.980
9,9,1,78.085,17.155,78.080,17.150,78.090,17.160,0.980
10,10,1,78.095,17.155,78.090,17.150,78.100,17.160,0.980
11,11,1,78.105,17.155,78.100,17.150,78.110,17.160,0.980
12,12,1,78.115,17.155,78.110,17.150,78.120,17.160,0.980
13,13,1,78.125,17.155,78.120,17.150,78.130,17.160,0.980
14,14,1,78.135,17.155,78.130,17.150,78.140,17.160,0.980
15,15,1,78.145,17.155,78.140,17.150,78.150,17.160,0.980
16,16,1,78.155,17.155,78.150,17.150,78.160,17.160,0.980
17,17,1,78.165,17.155,78.160,17.150,78.170,17.160,0.980
18,18,1,78.175,17.155,78.170,17.150,78.180,17.160,0.980
19,19,1,78.185,17.155,78.180,17.150,78.190,17.160,0.980
20,20,1,78.195,17.155,78.190,17.150,78.200,17.160,0.980
21,21,1,78.205,17.155,78.200,17.150,78.210,17.160,0.980
22,22,1,78.215,17.155,78.210,17.150,78.220,17.160,0.980
23,23,1,78.225,17.155,78.220,17.150,78.230,17.160,0.980
24,24,1,78.235,17.155,78.230,17.150,78.240,17.160,0.980
25,25,1,78.245,17.155,78.240,17.150,78.250,17.160,0.980
26,26,1,78.255,17.155,78.250,17.150,78.260,17.160,0.980
27,27,1,78.265,17.155,78.260,17.150,78.270,17.160,0.980
28,28,1,78.275,17.155,78.270,17.150,78.280,17.160,0.980
29,29,1,78.285,17.155,78.280,17.150,78.290,17.160,0.980
30,30,1,78.295,17.155,78.290,17.150,78.300,17.160,0.980
31,31,1,78.305,17.155,78.300,17.150,78.310,17.160,0.980
32,32,1,78.315,17.155,78.310,17.150,78.320,17.160,0.980
33,33,1,78.325,17.155,78.320,17.150,78.330,17.160,0.980
34,34,1,78.335,17.155,78.330,17.150,78.340,17.160,0.980
35,35,1,78.345,17.155,78.340,17.150,78.350,17.160,0.980
36,36,1,78.355,17.155,78.350,17.150,78.360,17.160,0.980
37,37,1,78.365,17.155,78.360,17.150,78.370,17.160,0.980
38,38,1,78.375,17.155,78.370,17.150,78.380,17.160,0.980
39,39,1,78.385,17.155,78.380,17.150,78.390,17.160,0.980
40,40,1,78.395,17.155,78.390,17.150,78.400,17.160,0.980
41,41,1,78.405,17.155,78.400,17.150,78.410,17.160,0.980
42,42,1,78.415,17.155,78.410,17.150,78.420,17.160,0.980
43,43,1,78.425,17.155,78.420,17.150,78.430,17.160,0.980
44,44,1,78.435,17.155,78.430,17.150,78.440,17.160,0.980
45,45,1,78.445,17.155,78.440,17.150,78.450,17.160,0.980
46,46,1,78.455,17.155,78.450,17.150,78.460,17.160,0.980
47,47,1,78.465,17.155,78.460,17.150,78.470,17.160,0.980
48,48,1,78.475,17.155,78.470,17.150,78.480,17.160,0.980
49,49,1,78.485,17.155,78.480,17.150,78.490,17.160,0.980
50,50,1,78.495,17.155,78.490,17.150,78.500,17.160,0.980
51,51,1,78.505,17.155,78.500,17.150,78.510,17.160,0.980
52,52,1,78.515,17.155,78.510,17.150,78.520,17.160,0.980
53,53,1,78.525,17.155,78.520,17.150,78.530,17.160,0.980
54,54,1,78.535,17.155,78.530,17.150,78.540,17.160,0.980
55,55,1,78.545,17.155,78.540,17.150,78.550,17.160,0.980
56,56,1,78.555,17.155,78.550,17.150,78.560,17.160,0.980
57,57,1,78.565,17.155,78.560,17.150,78.570,17.160,0.980
58,58,1,78.575,17.155,78.570,17.150,78.580,17.160,0.980
59,59,1,78.585,17.155,78.580,17.150,78.590,17.160,0.980
60,60,1,78.595,17.155,78.590,17.150,78.600,17.160,0.980
61,61,1,78.605,17.155,78.600,17.150,78.610,17.160,0.980
62,62,1,78.615,17.155,78.610,17.150,78.620,17.160,0.980
63,63,1,78.625,17.155,78.620,17.150,78.630,17.160,0.980
64,64,1,78.635,17.155,78.630,17.150,78.640,17.160,0.980
65,65,1,78.645,17.155,78.640,17.150,78.650,17.160,0.980
66,66,1,78.655,17.155,78.650,17.150,78.660,17.160,0.980
67,67,1,78.665,17.155,78.660,17.150,78.670,17.160,0.980
68,68,1,78.675,17.155,78.670,17.150,78.680,17.160,0.980
69,69,1,78.685,17.155,78.680,17.150,78.690,17.160,0.980
70,70,1,78.695,17.155,78.690,17.150,78.700,17.160,0.980
71,71,1,78.705,17.155,78.700,17.150,78.710,17.160,0.980
72,72,1,78.715,17.155,78.710,17.150,78.720,17.160,0.980
73,73,1,78.725,17.155,78.720,17.150,78.730,17.160,0.980
74,74,1,78.735,17.155,78.730,17.150,78.740,17.160,0.980
75,75,1,78.745,17.155,78.740,17.150,78.750,17.160,0.980
76,76,1,78.755,17.155,78.750,17.150,78.760,17.160,0.980
77,77,1,78.765,17.155,78.760,17.150,78.770,17.160,0.980
78,78,1,78.775,17.155,78.770,17.150,78.780,17.160,0.980
79,79,1,78.785,17.155,78.780,17.150,78.790,17.160,0.980
80,80,1,78.795,17.155,78.790,17.150,78.800,17.160,0.980
81,1,2,78.005,17.165,78.000,17.160,78.010,17.170,0.980
82,2,2,78.015,17.165,78.010,17.160,78.020,17.170,0.980
83,3,2,78.025,17.165,78.020,17.160,78.030,17.170,0.980
84,4,2,78.035,17.165,78.030,17.160,78.040,17.170,0.980
85,5,2,78.045,17.165,78.040,17.160,78.050,17.170,0.980
86,6,2,78.055,17.165,78.050,17.160,78.060,17.170,0.980
